"Charge Power Status","Charge Power","22F004","{B:7}",0,1,"ON/OFF","7E3"
"Ready Power Status","Ready Power","22F004","{B:6}",0,1,"ON/OFF","7E3"
"AM Power Status","AM Power","22F004","{B:5}",0,1,"ON/OFF","7E3"
"Multi-Purpose Input","Multi-purpose Input","22F004","{B:4}",0,1,"ON/OFF","7E3"
"Discharge Enable","Discharge Enable","22F004","{B:0}",0,1,"ON/OFF","7E3"
"Charge Enable","Charge Enable","22F004","{B:1}",0,1,"ON/OFF","7E3"
"Charger Safety","Charger Safety","22F004","{B:2}",0,1,"ON/OFF","7E3"
"BMS Errors Present","Errors Present","22F004","{B:3}",0,1,"ON/OFF","7E3"
"Balancing Active","Balancing","B206","A",0,1,"ON/OFF","7E3"
"State of Charge","SOC","22F00F","A/2.0",0,100,"%","7E3"
"Depth of Discharge","DOD","22F012","A/2.0",0,100,"%","7E3"
"Pack Health","SOH","22F013","A",0,100,"%","7E3"
"Pack Voltage","Pack Volt","22F00D","((A*256)+B)/10.0",0,650,"V","7E3"
"Pack Sum Voltage","Summed Volt","22F014","((A*256)+B)/100.0",0,650,"V","7E3"
"Pack Open Voltage","Open Volt","22F00E","((A*256)+B)/10.0",0,650,"V","7E3"
"Pack Resistance","Pack Res","22F011","((A*256)+B)/100.0",0,1000,"Ohm","7E3"
"Highest Cell","High Cell","22F033","((A*256)+B)/10000.0",0,5,"V","7E3"
"Lowest Cell","Low Cell","22F032","((A*256)+B)/10000.0",0,5,"V","7E3"
"Highest Open Cell","High Open Cell","22F036","((A*256)+B)/10000.0",0,5,"V","7E3"
"Lowest Open Cell","Low Open Cell","22F035","((A*256)+B)/10000.0",0,5,"V","7E3"
"Highest Resistance","High Res","22F039","((A*256)+B)/100.0",0,255,"mOhm","7E3"
"Lowest Resistance","Low Res","22F038","((A*256)+B)/100.0",0,255,"mOhm","7E3"
"12v Supply","Supply Volt","22F046","((A*256)+B)/10.0",0,20,"V","7E3"
"Total Pack Cycles","Pack Cycles","22F018","((A*256)+B)",0,65535,"#","7E3"
"Battery Current","Amps","22F015","((((A*256)+B)-32767.0)/10.0)*-1",-1000,1000,"A","7E3"
"Battery Power","Battery kW",,"(VAL{Battery Current}*VAL{Pack Sum Voltage})/1000.0",-500,500,"kW",
"Charge Limit","CCL","22F00A","((A*256)+B)",0,2500,"A","7E3"
"Discharge Limit","DCL","22F00B","((A*256)+B)",0,2500,"A","7E3"
"Drive Mode (Prius)","Drive Mode","22F01F","A",0,6,"#","7E3"
"Heatsink Temp","Internal Temp","22F0FF","A",-40,80,"C","7E3"
"Highest Temperature","High Temp","22F028","A",-40,80,"C","7E3"
"Lowest Temperature","Low Temp","22F029","A",-40,80,"C","7E3"
"Temperature #1","Temp 1","22F0FF","B",-40,80,"C","7E3"
"Temperature #2","Temp 2","22F0FF","C",-40,80,"C","7E3"
"Temperature #3","Temp 3","22F0FF","D",-40,80,"C","7E3"
"Temperature #4","Temp 4","22F0FF","E",-40,80,"C","7E3"
"Cell Voltage #1","Cell1","22F100","((A*256)+B)",0,5,"V","7E3"
"Cell Voltage #2","Cell2","22F100","((C*256)+D)",0,5,"V","7E3"
"Cell Voltage #3","Cell3","22F100","((E*256)+F)",0,5,"V","7E3"
"Cell Voltage #4","Cell4","22F100","((G*256)+H)",0,5,"V","7E3"
"Cell Voltage #5","Cell5","22F100","((I*256)+J)",0,5,"V","7E3"
"Cell Voltage #6","Cell6","22F100","((K*256)+L)",0,5,"V","7E3"
"Cell Voltage #7","Cell7","22F100","((M*256)+N)",0,5,"V","7E3"
"Cell Voltage #8","Cell8","22F100","((O*256)+P)",0,5,"V","7E3"
"Cell Voltage #9","Cell9","22F100","((Q*256)+R)",0,5,"V","7E3"
"Cell Voltage #10","Cell10","22F100","((S*256)+T)",0,5,"V","7E3"
"Cell Voltage #11","Cell11","22F100","((U*256)+V)",0,5,"V","7E3"
"Cell Voltage #12","Cell12","22F100","((W*256)+X)",0,5,"V","7E3"
"Cell Voltage #13","Cell13","22F101","((A*256)+B)",0,5,"V","7E3"
"Cell Voltage #14","Cell14","22F101","((C*256)+D)",0,5,"V","7E3"
"Cell Voltage #15","Cell15","22F101","((E*256)+F)",0,5,"V","7E3"
"Cell Voltage #16","Cell16","22F101","((G*256)+H)",0,5,"V","7E3"
"Cell Voltage #17","Cell17","22F101","((I*256)+J)",0,5,"V","7E3"
"Cell Voltage #18","Cell18","22F101","((K*256)+L)",0,5,"V","7E3"
"Cell Voltage #19","Cell19","22F101","((M*256)+N)",0,5,"V","7E3"
